year,month,day,mesoscale_forcing,direction,valley_jet,pulsing,similar
2012,3,14,0,1,0,1,0
2012,3,15,0,1,0,1,0
2012,3,16,0,0,0,0,0
2012,3,17,0,1,0,1,0
2012,3,18,0,0,0,1,1
2012,3,19,0,0,0,1,0
2012,3,20,0,0,0,0,0
2012,3,21,1,0,0,1,0
2012,3,22,0,0,0,0,0
2012,3,23,1,1,0,1,0
2012,3,24,0,1,1,1,0
2012,3,25,0,0,0,1,0
2012,3,26,0,0,1,0,0
2012,3,27,0,0,1,1,1
2012,3,28,0,0,1,1,1
2012,3,29,0,0,0,0,0
2012,3,30,0,1,0,0,0
2012,3,31,1,0,1,0,0
2012,4,1,0,1,1,1,0
2012,4,2,0,1,1,0,0
2012,4,3,0,0,0,1,1
2012,4,4,0,1,0,1,0
2012,4,5,0,0,0,1,0
2012,4,6,0,1,1,0,0
2012,4,7,1,1,1,0,1
2012,4,8,1,1,1,0,1
2012,4,9,0,0,1,1,1
2012,4,10,0,1,1,0,1
2012,4,11,0,1,1,0,1
2012,4,12,0,1,1,0,1
2012,4,13,0,0,0,1,0
2012,4,14,0,0,1,1,1
2012,4,15,0,0,0,1,1
2012,4,16,0,0,1,0,0
2012,4,17,0,0,0,1,1
2012,4,18,0,0,0,1,1
2012,4,19,0,1,1,1,0
2012,4,20,0,1,1,0,1
2012,4,21,0,1,1,0,1
2012,4,22,0,1,1,0,1
2012,4,23,1,0,1,0,1
2012,4,24,0,1,1,1,0
2012,4,25,0,0,0,1,1
2012,4,26,1,0,0,1,0
2012,4,27,0,0,0,1,0
2012,4,28,0,1,1,1,1
2012,4,29,1,1,0,0,0
2012,4,30,1,0,0,0,1
2012,5,1,0,0,0,1,0
2012,5,2,0,0,0,1,0
2012,5,3,0,0,1,0,0
2012,5,4,0,0,0,1,0
2012,5,5,0,0,0,1,0
2012,5,6,0,1,1,0,1
2012,5,7,0,1,1,0,1
2012,5,8,0,0,0,1,0
2012,5,9,0,1,1,0,1
2012,5,10,0,1,1,0,1
2012,5,11,0,1,1,0,1
2012,5,12,0,1,1,0,1
2012,5,13,0,1,1,0,1
2012,5,14,0,1,1,1,1
2012,5,15,0,1,1,1,1
2012,5,16,0,1,1,0,1
2012,5,17,0,1,1,0,1
2012,5,18,0,1,1,0,0
2012,5,19,0,1,1,1,0
2012,5,20,0,1,0,1,0
2012,5,21,1,0,0,1,1
2012,5,22,1,1,0,1,1
2012,5,23,1,0,0,1,0
2012,5,24,0,1,0,1,0
2012,5,25,0,0,0,1,0
2012,5,26,0,0,0,0,0
2012,5,27,0,1,0,0,0
2012,5,28,0,0,1,1,1
2012,5,29,0,1,1,1,1
2012,5,30,0,1,1,0,1
2012,5,31,0,1,1,1,1
2012,6,1,1,0,0,1,0
2012,6,2,0,0,0,1,0
2012,6,3,0,1,0,1,0
2012,6,4,0,0,0,1,0
2012,6,5,0,1,0,1,0
2012,6,6,0,0,1,0,0
2012,6,7,1,1,1,0,1
2012,6,8,0,1,0,1,0
2012,6,9,0,1,1,0,1
2012,6,10,0,1,1,1,1
2012,6,11,0,1,1,1,1
2012,6,12,1,0,0,1,0
2012,6,13,0,1,1,1,1
2012,6,14,0,1,1,1,1
2012,6,15,0,1,1,1,1
2012,6,16,1,1,0,1,1
2012,6,17,1,0,0,0,0
2012,6,18,0,1,0,0,0
2012,6,19,0,1,1,1,1
2012,6,20,0,1,1,1,1
2012,6,21,1,0,0,1,0
2012,6,22,0,1,0,0,0
2012,6,23,0,1,0,0,0
2012,6,24,0,1,1,0,1
2012,6,25,0,1,0,0,1
